id,data_venda,cliente,vendedor,produto,categoria,fornecedor,quantidade,valor_venda,valor_custo
1,2021-10-08,Victor Sousa,RODRIGO BIO,CAMA CASAL,MOVEIS,BRASIL MADEIRAS,2,1000.0,752.0
2,2023-03-07,Giovana Cardoso,PEDRO NUNES,BARCO DE PEDRA,LIVROS,EDITORA AMAZONIA,2,37.0,20.0
3,2022-07-24,Matheus Ferreira,MARCELO WITEMBERG,RIO DE JANEIRO / LIMA,PASSAGENS,LINHAS LATINAS DE AVIÃ•ES,1,1900.0,1570.0
4,2022-01-07,Amanda Cavalcanti,FABIO AUGUSTO,LEITOR DE CARTOES MULTILASER,INFORMATICA,MULTILASER,2,24.0,11.0
5,2020-03-09,Vinícius Silva,RODRIGO BIO,RIO DE JANEIRO / MIAMI,PASSAGENS,AMERICA LINES EXPRESS,4,1900.0,1763.0
6,2019-12-21,Marina Pereira,LILIAN SALINAS,SAMSUNG E1203,CELULARES,SAMSUNG,3,560.0,385.0
7,2018-02-13,Fábio Fernandes,RAFAELA LIMA,SMART TV PANASONIC 32,TV E AUDIO,PANASONIC,5,1099.0,700.0
8,2018-08-23,Mateus Cardoso,GERALDO FRANCISCO,HOME THEATER PANASONIC,TV E AUDIO,PANASONIC,4,245.0,150.0
9,2021-04-24,Fernanda Pinto,HERMES MACEDO,DINOSSAUROS,DVDS,STUDIOS HB,2,40.0,18.0
10,2021-07-05,Martim Oliveira,MARCELO WITEMBERG,CAVALEIRO DAS TREVAS,GAMES,BILLZAR GAMES,1,110.0,50.0
11,2020-10-13,Gabriela Costa,SERGIO AGUDO,PLACA DE SOM,INFORMATICA,GFORCE,3,290.0,130.0
12,2019-07-18,Lucas Rodrigues,FABIO AUGUSTO,NOTEBOOK SONY JK,INFORMATICA,SONY,4,2800.0,1999.0
13,2021-10-27,Samuel Lima,DAVID BORGES,CAVALEIROS DE PRATA,GAMES,BILLZAR GAMES,3,145.0,89.0
14,2020-01-15,Vitor Carvalho,GERALDO FRANCISCO,O SUPER-HERÓI,DVDS,STUDIOS HB,2,45.0,20.0
15,2021-11-04,Kai Costa,RODRIGO BIO,GRILL GEROGE FOREMAN,ELETRODOMESTICOS,GANCA,2,250.0,210.0
16,2018-01-04,Tiago Melo,RODRIGO BIO,DESKTOP I5,INFORMATICA,ACER,3,2100.0,1020.0
17,2019-05-20,Luan Rocha,RENE CHIARI,RIO DE JANEIRO / CURITIBA,PASSAGENS,LINHAS LATINAS DE AVIÃ•ES,2,450.0,400.0
18,2023-08-01,Luís Ribeiro,RENE CHIARI,TECLADO WIRELESS,INFORMATICA,GENIUS,3,89.0,70.0
19,2018-12-14,Emilly Costa,RENE CHIARI,NOKIA ASHA 202,CELULARES,NOKIA,3,700.0,430.0
20,2022-10-17,Thaís Almeida,CLARA MAFRA,TV LED 60 SONY,TV E AUDIO,SONY,4,3900.0,3051.0
21,2018-09-14,Nicole Castro,RAFAELA LIMA,O PEQUENO,DVDS,EM SPORTS,4,43.0,23.0
22,2023-04-25,Isabela Souza,TERESA CRISTINA,HD 1T SAMSUNG,INFORMATICA,SAMSUNG,2,260.0,110.0
23,2022-05-14,Luiza Rocha,MARCELO WITEMBERG,DESKTOP I5,INFORMATICA,ACER,4,2100.0,1020.0
24,2021-07-25,Isabella Silva,CARLOS SENRA,O PEQUENO,DVDS,EM SPORTS,5,43.0,23.0
25,2019-11-26,Renan Gomes,RODRIGO BIO,O SENHOR DO CRIME,LIVROS,EDITORA AMAZONIA,5,199.0,120.0
26,2022-06-24,Beatrice Araujo,TERESA CRISTINA,MOTO G6,CELULARES,MOTOROLA,4,860.0,620.0
27,2021-10-26,Evelyn Souza,ANTONIO JESUS,PC DUAL CORE,INFORMATICA,PHILIPS,4,1350.0,890.0
28,2019-06-06,Arthur Martins,DAVID BORGES,CADEIRA DE FERRO,MOVEIS,BRASIL MADEIRAS,2,300.0,160.0
29,2020-01-03,Bruno Barros,RAFAELA LIMA,SONY I5,INFORMATICA,SONY,2,1800.0,800.0
30,2020-02-04,Rafael Rodrigues,JOAO NUNES,RIO DE JANEIRO / CURITIBA,PASSAGENS,LINHAS LATINAS DE AVIÃ•ES,1,450.0,400.0
31,2023-04-08,Isabela Azevedo,SILVIO BAHIANA,NOKIA QUARTY,CELULARES,NOKIA,2,300.0,190.0
32,2018-04-24,Sofia Araujo,FABIO AUGUSTO,ARMARIO COZINHA 6 PORTAS,MOVEIS,BRASIL MADEIRAS,4,2500.0,2030.0
33,2021-12-17,Luiz Dias,RODRIGO MARQUES,TV LED 32 SAMSUNG,TV E AUDIO,SAMSUNG,4,1210.0,763.0
34,2022-09-09,Anna Oliveira,RODRIGO MARQUES,MOCHILA NOTEBOOK 14 POL,INFORMATICA,GENIUS,2,89.0,61.0
35,2021-11-02,Manuela Fernandes,CLARA MAFRA,THIEF,GAMES,BRAZUCA JOGOS,1,140.0,70.0
36,2023-05-24,Larissa Melo,PILAR SANCHES,COMBO TECLADO E MOUSE,INFORMATICA,GENIUS,1,130.0,89.0
37,2019-05-09,Maria Rocha,RAFAELA LIMA,SONY I7,INFORMATICA,SONY,3,2500.0,1300.0
38,2021-03-22,Mariana Cavalcanti,DAVID BORGES,CASOAS ANTIGOS,DVDS,EM SPORTS,4,37.0,20.0
39,2020-01-12,Maria Silva,DAVID BORGES,PLAYSTATION 3,GAMES,SONY,2,980.0,590.0
40,2021-04-04,João Silva,RENATA MONTEIRO,CARTAO SD 128 GB SANDISK,INFORMATICA,SANDISK,4,156.0,99.0
41,2023-09-24,Kauê Carvalho,MARCELO WITEMBERG,TECLADO WIRELESS,INFORMATICA,GENIUS,4,89.0,70.0
42,2021-11-23,Felipe Silva,RODRIGO BIO,FAMILIA PARATTO,DVDS,EM SPORTS,4,134.0,100.0
43,2020-12-17,Joao Barbosa,SERGIO AGUDO,ESCOLINHA DO JUCA,DVDS,STUDIOS HOLLYWOOD,1,56.0,23.0
44,2020-03-10,Beatrice Alves,RODRIGO MARQUES,MESA JANTAR 6 LUGARES,MOVEIS,BRASIL MADEIRAS,1,2500.0,1900.0
45,2020-10-07,Sofia Oliveira,RENE CHIARI,SAMSUNG DUOS,CELULARES,SAMSUNG,5,1100.0,750.0
46,2021-04-16,José Carvalho,RENE CHIARI,NOTEBOOK HP ONE,INFORMATICA,HP,4,1870.0,1300.0
47,2022-01-03,Clara Souza,DAVID BORGES,FANTASY STAR,GAMES,JOGAR GAMES,5,89.0,30.0
48,2020-03-13,André Martins,PEDRO NUNES,C# PRATICO,LIVROS,MICROSOFT,4,60.0,45.0
49,2023-08-25,Fernanda Araujo,EDUARDO SANTOS,JUST DANCE,GAMES,BILLZAR GAMES,3,99.0,34.0
50,2019-10-03,José Fernandes,CARLOS SENRA,XTG SOUND,CELULARES,GFORCE,2,320.0,190.0
51,2020-12-21,Yasmin Barros,MARCELO WITEMBERG,C# PRATICO,LIVROS,MICROSOFT,4,60.0,45.0
52,2018-02-27,Paulo Carvalho,FABIO AUGUSTO,TV LED 50 SONY,TV E AUDIO,SONY,3,3200.0,2465.0
53,2021-06-14,Brenda Oliveira,EDUARDO SANTOS,DRAGON BLAZER,GAMES,BRAZUCA JOGOS,3,90.0,40.0
54,2020-04-12,Alex Alves,RODRIGO BIO,RIO DE JANEIRO / RECIFE,PASSAGENS,LINHAS LATINAS DE AVIÃ•ES,4,560.0,500.0
55,2019-03-09,Guilherme Fernandes,RODRIGO BIO,CAVALEIRO DAS TREVAS,GAMES,BILLZAR GAMES,1,110.0,50.0
56,2023-12-18,Vitor Azevedo,CELIA TAVARES,FANTASY STAR,GAMES,JOGAR GAMES,4,89.0,30.0
57,2018-03-07,Gustavo Silva,ANTONIO JESUS,MOTO G5,CELULARES,MOTOROLA,3,679.0,465.0
58,2018-03-06,Kaua Sousa,TERESA CRISTINA,MICROONDAS BRASTEMP,ELETRODOMESTICOS,BRASTEMP,4,600.0,412.0
59,2023-02-25,Isabelle Souza,GERALDO FRANCISCO,TV LED 60 SAMSUNG,TV E AUDIO,SAMSUNG,3,3800.0,3000.0
60,2019-07-18,Tiago Barros,CELIA TAVARES,LEITOR DE CARTOES MULTILASER,INFORMATICA,MULTILASER,5,24.0,11.0
61,2018-03-08,Julia Goncalves,RENE CHIARI,FANTASY STAR,GAMES,JOGAR GAMES,2,89.0,30.0
62,2020-06-01,Leonardo Martins,CLARA MAFRA,NOKIA ASHA 501,CELULARES,NOKIA,4,600.0,320.0
63,2018-11-27,Kaua Rocha,LILIAN SALINAS,FABULA,GAMES,BRAZUCA JOGOS,5,120.0,100.0
64,2019-12-15,Thaís Azevedo,TERESA CRISTINA,NOTEBOOK SONY 3D,INFORMATICA,SONY,1,2500.0,2000.0
65,2018-11-16,Larissa Cavalcanti,LILIAN SALINAS,SONY I5,INFORMATICA,SONY,3,1800.0,800.0
66,2023-01-20,Julia Pinto,CELIA TAVARES,PENDRIVE 64 ML,INFORMATICA,MULTILASER,2,85.0,40.0
67,2018-11-19,Samuel Pinto,ANTONIO JESUS,DESKTOP P5 PH,INFORMATICA,PHILIPS,4,1400.0,980.0
5557,2018-06-10,Paulo Dias,PEDRO NUNES,SONY W200,CELULARES,SONY,1,1100.0,900.0
68,2020-06-07,Douglas Rocha,RENATA MONTEIRO,ROTEADOR WIRELESS,INFORMATICA,MULTILASER,4,90.0,38.0
69,2023-03-08,Kauan Alves,HERMES MACEDO,ADVANCED AZURE,LIVROS,MICROSOFT,4,70.0,55.0
